wavelength	W/(nm·m2)
795	1.0932
796	1.0742
797	1.0913
798	1.1121
799	1.0905
800	1.0725
801	1.0843
802	1.0856
803	1.0657
804	1.0782
805	1.0545
806	1.0974
807	1.0859
808	1.0821
809	1.0548
810	1.0559
811	1.0533
812	1.0268
813	1.0086
814	0.90356
815	0.89523
816	0.83216
817	0.85183
818	0.82259
819	0.9051900000000001
820	0.86188
821	0.99764
822	0.95157
823	0.67271
824	0.93506
825	0.96935
826	0.93381
827	0.98465
828	0.84979
829	0.9293
830	0.91601
831	0.92392
832	0.8942600000000001
833	0.9565
834	0.93412
835	1.0032
836	0.97234
837	1.0092
838	0.99901
839	1.0013
840	1.0157
841	1.0101
842	0.99703
843	1.0053
844	0.98631
845	1.0165
846	1.0187
847	0.9917
848	0.99217
849	0.9859599999999999
850	0.89372
851	0.97493
852	0.96927
853	0.9648600000000001
854	0.85112
855	0.913
856	0.97317
857	0.99166
858	0.99196
859	0.99171
860	0.98816
861	0.9867899999999999
862	0.99449
863	1.0005
864	0.97916
865	0.96324
866	0.849
867	0.9154600000000001
868	0.9592000000000001
869	0.94956
870	0.96755
871	0.95387
872	0.9668600000000001
873	0.95721
874	0.94042
875	0.92687
876	0.95277
877	0.9561500000000001
878	0.95237
879	0.9365599999999999
880	0.93957
881	0.90861
882	0.93245
883	0.92927
884	0.93305
885	0.94423
886	0.90752
887	0.91062
888	0.92228
889	0.93455
890	0.92393
891	0.92584
892	0.90881
893	0.87327
894	0.8512999999999999
895	0.81357
896	0.76253
897	0.66566
898	0.7178
899	0.54871
900	0.7426
901	0.59933
902	0.66791
903	0.68889
904	0.84457
905	0.81709
906	0.77558
907	0.63854
908	0.65217
909	0.70431
910	0.6246699999999999
911	0.66808
912	0.68893
913	0.62834
914	0.62649
915	0.67836
916	0.57646
917	0.73017
918	0.59271
919	0.73877
920	0.74414
921	0.78049
922	0.70026
923	0.74504
924	0.7215
925	0.7111
926	0.70331
927	0.78742
928	0.58968
929	0.55127
930	0.4321
931	0.40921
932	0.30086
933	0.24841
934	0.1438
935	0.25084
936	0.16142
937	0.16338
938	0.20058
939	0.39887
940	0.47181
941	0.37195
942	0.40532
943	0.27834
944	0.28579
945	0.36821
946	0.19461
947	0.37112
948	0.27423
949	0.49396
950	0.14726
951	0.48378
952	0.26891
953	0.34362
954	0.42411
955	0.34117
956	0.32821
957	0.27067
958	0.46101
959	0.37385
960	0.42066
961	0.4612
962	0.44174
963	0.50503
964	0.4586
965	0.50374
966	0.50275
967	0.5024
968	0.6521
969	0.6862200000000001
970	0.63461
971	0.71397
972	0.68765
973	0.60648
974	0.57529
975	0.58987
976	0.57191
977	0.63864
978	0.61509
979	0.63815
980	0.60468
981	0.71338
982	0.69218
983	0.66865
984	0.73732
985	0.6881699999999999
986	0.75083
987	0.73928
988	0.7346200000000001
989	0.7490599999999999
990	0.73227
991	0.75358
992	0.75102
993	0.73728
994	0.7541
995	0.75176
996	0.74884
997	0.73971
998	0.73887
999	0.7385699999999999
1000	0.73532
1001	0.74442
1002	0.72805
1003	0.73442
1004	0.72336
1005	0.68174
1006	0.71252
1007	0.72753
1008	0.72685
1009	0.71972
1010	0.71914
1011	0.72278
1012	0.71877
1013	0.71761
1014	0.72068
1015	0.70817
1016	0.71129
1017	0.7033700000000001
1018	0.71422
1019	0.6887799999999999
1020	0.69896
1021	0.70175
1022	0.6897
1023	0.69508
1024	0.69058
1025	0.69753
1026	0.69636
1027	0.6930500000000001
1028	0.69385
1029	0.68628
1030	0.69055
1031	0.68736
1032	0.68787
1033	0.67613
1034	0.68015
1035	0.6823399999999999
1036	0.68202
1037	0.67497
1038	0.67172
1039	0.67636
1040	0.6717
1041	0.67176
1042	0.672
1043	0.66525
1044	0.66833
1045	0.66452
1046	0.64714
1047	0.65694
1048	0.66274
1049	0.65896
1050	0.65463
1051	0.65521
1052	0.65118
1053	0.64919
1054	0.64646
1055	0.64847
1056	0.64641
1057	0.6448199999999999
1058	0.63818
1059	0.61875
1060	0.63585
1061	0.62121
1062	0.63266
1063	0.62239
1064	0.63196
1065	0.62913
1066	0.61713
1067	0.62032
1068	0.61944
1069	0.58626
1070	0.6046899999999999
1071	0.61661
1072	0.61536
1073	0.60363
1074	0.62158
1075	0.59252
1076	0.61471
1077	0.60434
1078	0.60321
1079	0.6047400000000001
1080	0.59722
1081	0.58083
1082	0.5894
1083	0.59814
1084	0.57852
1085	0.5933
1086	0.5541
1087	0.56697
1088	0.59317
1089	0.57919
1090	0.5557299999999999
1091	0.58835
1092	0.58124
1093	0.51058
1094	0.53965
1095	0.52067
1096	0.50323
1097	0.57852
1098	0.50291
1099	0.5077199999999999
1100	0.48577
1101	0.49696
1102	0.46883
1103	0.46637
1104	0.46765
1105	0.50644
1106	0.39792
1107	0.48304
1108	0.41565
1109	0.41278
1110	0.47899
1111	0.33154
1112	0.41357
1113	0.2685
1114	0.29985
1115	0.24987
1116	0.20136
1117	0.07961799999999999
1118	0.21753
1119	0.11317
1120	0.14189
1121	0.18586
1122	0.08168599999999999
1123	0.12817
1124	0.1087
1125	0.14428
1126	0.051589
1127	0.15725
1128	0.09922400000000001
1129	0.10591
1130	0.070574
1131	0.2956
1132	0.23411
1133	0.15331
1134	0.04174
1135	0.015462
1136	0.12876
1137	0.28785
1138	0.20329
1139	0.2985
1140	0.25599
1141	0.19337
1142	0.22479
1143	0.31183
1144	0.11326
1145	0.14604
1146	0.15764
1147	0.059176
1148	0.27113
1149	0.21854
1150	0.12164
1151	0.2034
1152	0.24762
1153	0.23812
1154	0.14248
1155	0.31316
1156	0.2809
1157	0.31458
1158	0.31171
1159	0.33693
1160	0.28648
1161	0.34753
1162	0.35002
1163	0.46857
1164	0.40188
1165	0.3886
1166	0.37494
1167	0.40996
1168	0.41954
1169	0.4231
1170	0.45873
1171	0.44831
1172	0.45483
1173	0.45642
1174	0.33692
1175	0.4524
1176	0.47679
1177	0.47235
1178	0.36
1179	0.48371
1180	0.44069
1181	0.45514
1182	0.32318
1183	0.4387
1184	0.41985
1185	0.40741
1186	0.47715
1187	0.45575
1188	0.33504
1189	0.41569
1190	0.46239
1191	0.4466
1192	0.47336
1193	0.45434
1194	0.4689
1195	0.44696
1196	0.43131
1197	0.47715
1198	0.43392
1199	0.36489
1200	0.44825
1201	0.43708
1202	0.43717
1203	0.43409
1204	0.36247
1205	0.43692
1206	0.48086
1207	0.42986
1208	0.43346
1209	0.41428
1210	0.45336
1211	0.42232
1212	0.42489
1213	0.46956
1214	0.43407
1215	0.4278
1216	0.4664
1217	0.45528
1218	0.45934
1219	0.44663
1220	0.45805
1221	0.46531
1222	0.45139
1223	0.44406
1224	0.44808
1225	0.46236
1226	0.46819
1227	0.43304
1228	0.46658
1229	0.46721
1230	0.46003
1231	0.47203
1232	0.46633
1233	0.45397
1234	0.47016
1235	0.46504
1236	0.46908
1237	0.46339
1238	0.46797
1239	0.46272
1240	0.46077
1241	0.46197
1242	0.46247
1243	0.45754
1244	0.45528
1245	0.45655
1246	0.45945
1247	0.45746
1248	0.4586
1249	0.45966
1250	0.45705
1251	0.45258
1252	0.45097
1253	0.44773
1254	0.44363
1255	0.4507
1256	0.44023
1257	0.43532
1258	0.44496
1259	0.42725
1260	0.4311
1261	0.41146
1262	0.39567
1263	0.40019
1264	0.37148
1265	0.3957
1266	0.38527
1267	0.38822
1268	0.37051
1269	0.24652
1270	0.38744
1271	0.40825
1272	0.40879
1273	0.40625
1274	0.40614
1275	0.41233
1276	0.41693
1277	0.42001
1278	0.42763
1279	0.42456
1280	0.42204
1281	0.41335
1282	0.37305
1283	0.40733
1284	0.42078
1285	0.42399
1286	0.42714
1287	0.42213
1288	0.41989
1289	0.40936
1290	0.41285
1291	0.41786
1292	0.39618
1293	0.41257
1294	0.40421
1295	0.40514
1296	0.38957
1297	0.3713
1298	0.39183
1299	0.40852
1300	0.35312
1301	0.36228
1302	0.39181
1303	0.34621
1304	0.30062
1305	0.38382
1306	0.38453
1307	0.30594
1308	0.34696
1309	0.38413
1310	0.30114
1311	0.33366
1312	0.33337
1313	0.31352
1314	0.28833
1315	0.28581
1316	0.32419
1317	0.31217
1318	0.33328
1319	0.26855
1320	0.25872
1321	0.29866
1322	0.30217
1323	0.23279
1324	0.26249
1325	0.32224
1326	0.28051
1327	0.26625
1328	0.2345
1329	0.17759
1330	0.22923
1331	0.1448
1332	0.14579
1333	0.20304
1334	0.16925
1335	0.23117
1336	0.18348
1337	0.16454
1338	0.17804
1339	0.17681
1340	0.16831
1341	0.17039
1342	0.17798
1343	0.12711
1344	0.075645
1345	0.10904
1346	0.058186
1347	0.060119
1348	0.0047451
1349	0.016159
1350	0.016025
1351	0.0046298
1352	0.0015164
1353	9.6096e-05
1354	0.00029009
1355	3.6034e-06
1356	4.807e-05
1357	7.178599999999999e-05
1358	4.1948e-06
1359	7.343899999999999e-07
1360	2.1404e-06
1361	4.8133e-09
1362	1.8076e-11
1363	3.1563e-06
1364	1.3589e-06
1365	9.0764e-12
1366	1.2791e-05
1367	4.9764e-06
1368	1.481e-13
1369	5.1667e-07
1370	2.92e-07
1371	1.9731e-08
1372	2.7498e-06
1373	4.4401e-05
1374	0.00017917
1375	0.00032332
1376	0.00025748
1377	0.0001227
1378	0.0011089
1379	5.2164e-05
1380	8.1587e-05
1381	2.3716e-06
1382	2.5672e-06
1383	4.4017e-08
1384	6.1689e-07
1385	2.0899e-06
1386	2.5215e-06
1387	0.00019896
1388	4.0262e-06
1389	0.00058098
1390	0.00049328
1391	0.00034384
1392	2.3782e-05
1393	0.00011586
1394	7.552599999999999e-05
1395	6.7136e-07
1396	6.3215e-09
1397	4.9057e-05
1398	0.0012704
1399	0.00081226
1400	3.2466e-09
1401	1.0528e-08
1402	0.0018353
1403	0.00238
1404	0.00073892
1405	3.6444e-07
1406	0.0020448
1407	0.00017457
1408	0.0016493
1409	0.00061919
1410	0.00046653
1411	0.0021142
1412	0.0026396
1413	0.023353
1414	0.00036378
1415	0.00018366
1416	0.035565
1417	0.011759
1418	0.013559
1419	0.0021442
1420	0.008271799999999999
1421	0.0091637
1422	0.046314
1423	0.0092198
1424	0.016975
1425	0.02585
1426	0.027792
1427	0.049546
1428	0.0045588
1429	0.03802
1430	0.061601
1431	0.050156
1432	0.0025194
1433	0.035834
1434	0.020962
1435	0.021416
1436	0.038351
1437	0.02988
1438	0.013263
1439	0.051039
1440	0.039601
1441	0.0318
1442	0.036317
1443	0.045063
1444	0.061791
1445	0.049751
1446	0.023095
1447	0.036215
1448	0.11569
1449	0.10213
1450	0.027412
1451	0.011271
1452	0.062361
1453	0.081978
1454	0.13759
1455	0.06615
1456	0.088509
1457	0.117
1458	0.13643
1459	0.16307
1460	0.085421
1461	0.090276
1462	0.1306
1463	0.043225
1464	0.15184
1465	0.09338299999999999
1466	0.065197
1467	0.036054
1468	0.076942
1469	0.094845
1470	0.049678
1471	0.017848
1472	0.046771
1473	0.070198
1474	0.09733899999999999
1475	0.18463
1476	0.06877800000000001
1477	0.06973600000000001
1478	0.06347999999999999
1479	0.12001
1480	0.060637
1481	0.11529
1482	0.05849
1483	0.14859
1484	0.13747
1485	0.12503
1486	0.1234
1487	0.060629
1488	0.09418
1489	0.18973
1490	0.17478
1491	0.19778
1492	0.16441
1493	0.18157
1494	0.20367
1495	0.18253
1496	0.16852
1497	0.2285
1498	0.18968
1499	0.21759
1500	0.25061
1501	0.26552
1502	0.23356
1503	0.18493
1504	0.16029
1505	0.18402
1506	0.25773
1507	0.25514
1508	0.24302
1509	0.1869
1510	0.27052
1511	0.26474
1512	0.26068
1513	0.24239
1514	0.22571
1515	0.26573
1516	0.25683
1517	0.24929
1518	0.25211
1519	0.24437
1520	0.2645
1521	0.27505
1522	0.26378
1523	0.28004
1524	0.27539
1525	0.25884
1526	0.26745
1527	0.2622
1528	0.27928
1529	0.27244
1530	0.25522
1531	0.26973
1532	0.27839
1533	0.27714
1534	0.26892
1535	0.26686
1536	0.27464
1537	0.27336
1538	0.27202
1539	0.27295
1540	0.26491
1541	0.26904
1542	0.26927
1543	0.27208
1544	0.2721
1545	0.27705
1546	0.27481
1547	0.27309
1548	0.26675
1549	0.27342
1550	0.2699
1551	0.27058
1552	0.27182
1553	0.27132
1554	0.26474
1555	0.26759
1556	0.2631
1557	0.27062
1558	0.26848
1559	0.26808
1560	0.26568
1561	0.27002
1562	0.26756
1563	0.26667
1564	0.26264
1565	0.26728
1566	0.26245
1567	0.26308
1568	0.25722
1569	0.25452
1570	0.24175
1571	0.23507
1572	0.23775
1573	0.23407
1574	0.24145
1575	0.23974
1576	0.24678
1577	0.21602
1578	0.23516
1579	0.23672
1580	0.24464
1581	0.2487
1582	0.24195
1583	0.24755
1584	0.24904
1585	0.25874
1586	0.25569
1587	0.25303
1588	0.25107
1589	0.23233
1590	0.24179
1591	0.24197
1592	0.25225
1593	0.25833
1594	0.25624
1595	0.25823
1596	0.24452
1597	0.24692
1598	0.25421
1599	0.24202
1600	0.2381
1601	0.22323
1602	0.22413
1603	0.22397
1604	0.22842
1605	0.23683
1606	0.2414
1607	0.23296
1608	0.2299
1609	0.22727
1610	0.2176
1611	0.2268
1612	0.23076
1613	0.23719
1614	0.23838
1615	0.24104
1616	0.2305
1617	0.23465
1618	0.24352
1619	0.241
1620	0.23449
1621	0.2343
1622	0.23754
1623	0.24246
1624	0.24269
1625	0.23782
1626	0.23971
1627	0.24078
1628	0.24126
1629	0.24137
1630	0.23651
1631	0.23806
1632	0.23821
1633	0.23267
1634	0.23282
1635	0.23367
1636	0.23539
1637	0.227
1638	0.22007
1639	0.22026
1640	0.21511
1641	0.2196
1642	0.22082
1643	0.21535
1644	0.22355
1645	0.21822
1646	0.21749
1647	0.22768
1648	0.21655
1649	0.21867
1650	0.22526
1651	0.20855
1652	0.22373
1653	0.22277
1654	0.21583
1655	0.22231
1656	0.22101
1657	0.22223
1658	0.22487
1659	0.2212
1660	0.22332
1661	0.22384
1662	0.21908
1663	0.22235
1664	0.22098
1665	0.21178
1666	0.17884
1667	0.21068
1668	0.21459
1669	0.21516
1670	0.22168
1671	0.21879
1672	0.21147
1673	0.21629
1674	0.21575
1675	0.2136
1676	0.21145
1677	0.21229
1678	0.20915
1679	0.21303
1680	0.20558
1681	0.19447
1682	0.20366
1683	0.20906
1684	0.19797
1685	0.21321
1686	0.21026
1687	0.20484
1688	0.21013
1689	0.20718
1690	0.20523
1691	0.19303
1692	0.20708
1693	0.21134
1694	0.20477
1695	0.20968
1696	0.20922
1697	0.18107
1698	0.20739
1699	0.20551
1700	0.19975
1701	0.2010416655829945
1702	0.20396
1703	0.2039408240527442
1704	0.2013486116553407
1705	0.19778
1706	0.1945654402422795
1707	0.1919706393911255
1708	0.1899951184188319
1709	0.1886383982976922
1710	0.1879
1711	0.1877489159389009
1712	0.1880320242909471
1713	0.1885656746735429
1714	0.1891662167040925
1715	0.18965
1716	0.1898580960021173
1717	0.1897304634450863
1718	0.1892317828869966
1719	0.188326734885938
1720	0.18698
1721	0.1852018200526302
1722	0.1831846819287079
1723	0.1811666337784706
1724	0.1793857237521555
1725	0.17808
1726	0.177383983787362
1727	0.1770180888400819
1728	0.1765992019991209
1729	0.1757442101054399
1730	0.17407
1731	0.1713657647979218
1732	0.1681099227109642
1733	0.1649531982250457
1734	0.1625463158260848
1735	0.16154
1736	0.1623280770209508
1737	0.1642767803160612
1738	0.1664954451006962
1739	0.1680934065902207
1740	0.16818
1741	0.166184887118275
1742	0.1628190360247911
1743	0.1591137413721697
1744	0.1561002978130322
1745	0.15481
1746	0.1559170145059492
1747	0.1586669955847745
1748	0.1619484694106252
1749	0.1646499621576506
1750	0.16566
1751	0.1642396948579281
1752	0.1611405016361109
1753	0.1574864609853295
1754	0.1544016135563655
1755	0.15301
1756	0.1540291660623384
1757	0.1565506778707821
1758	0.1592596066480566
1759	0.1608410236168874
1760	0.15998
1761	0.1558402008927184
1762	0.1494996668807608
1763	0.142515032422444
1764	0.1364429319760848
1765	0.13284
1766	0.1327458703667882
1767	0.1351321746061749
1768	0.1384535436621675
1769	0.1411646084787734
1770	0.14172
1771	0.1390284776401291
1772	0.1338153146945399
1773	0.1272599129288862
1774	0.1205416741088217
1775	0.11484
1776	0.1109954190726956
1777	0.1084929666156657
1778	0.1064788046222878
1779	0.10409909508594
1780	0.1005
1781	0.09516889406908845
1782	0.08895800284279755
1783	0.08306076458196246
1784	0.07867061754741823
1785	0.07698099999999999
1786	0.07869009265095063
1787	0.08251504601314415
1788	0.08667775304986235
1789	0.08940010672438703
1790	0.088904
1791	0.08397947132710903
1792	0.07568914110462586
1793	0.06566377521858816
1794	0.05553413955503364
1795	0.046931
1796	0.04106863004061323
1797	0.03749533356835244
1798	0.03534292207578504
1799	0.03374320705547842
1800	0.031828
1801	0.02895056851043806
1802	0.0253500046219644
1803	0.02148685647827171
1804	0.01782167222305268
1805	0.014815
1806	0.01279868871763455
1807	0.01158979034378997
1808	0.01087665761112813
1809	0.01034764325231085
1810	0.009691099999999999
1811	0.008672931019023762
1812	0.007369241202875716
1813	0.005933685877215791
1814	0.004519920367703909
1815	0.0032816
1816	0.002339483606270409
1817	0.001682744044707164
1818	0.001267657680008714
1819	0.00105050087687351
1820	0.00098755
1821	0.001033632155894605
1822	0.001137777418295631
1823	0.001247566602749353
1824	0.001310580524802051
1825	0.0012744
1826	0.001104480202951172
1827	0.000837773744510315
1828	0.0005291075945938725
1829	0.0002333087231182865
1830	5.2041e-06
1831	-0.0001147202620992926
1832	-0.0001433421795368909
1833	-0.0001118804259248429
1834	-5.155377487519665e-05
1835	6.419e-06
1836	3.747308546999852e-05
1837	4.365950982924863e-05
1838	3.368326175349945e-05
1839	1.624932991850018e-05
1840	6.2703e-08
1841	-8.06161389270154e-06
1842	-8.86854991610356e-06
1843	-4.993017793154805e-06
1844	9.300697531959667e-07
1845	6.2658e-06
1846	8.947957452807634e-06
1847	9.185115531165614e-06
1848	7.754544883119775e-06
1849	5.433516156715957e-06
1850	2.9993e-06
1851	1.100759697471005e-06
1852	-1.268709205588909e-07
1853	-6.767653873242882e-07
1854	-5.42097236059791e-07
1855	2.8396e-07
1856	1.777248717308345e-06
1857	3.789675031069949e-06
1858	6.14216098617738e-06
1859	8.655628627523209e-06
1860	1.1151e-05
1861	1.344834367329562e-05
1862	1.53643143162791e-05
1863	1.671471312261477e-05
1864	1.731534128596696e-05
1865	1.6982e-05
1866	1.557162224246919e-05
1867	1.310566812749367e-05
1868	9.646729553283554e-06
1869	5.25739841804896e-06
1870	2.6662e-10
1871	-5.765176845252364e-06
1872	-1.049185459249376e-05
1873	-1.233579213910898e-05
1874	-9.453015002482796e-06
1875	4.513e-10
1876	1.680568343342028e-05
1877	3.749216679272139e-05
1878	5.752648895531237e-05
1879	7.237523749860223e-05
1880	7.7505e-05
1881	7.034388734021128e-05
1882	5.616610361312821e-05
1883	4.220737621593948e-05
1884	3.570343254583385e-05
1885	4.389e-05
1886	7.13219982713346e-05
1887	0.0001118311162355658
1888	0.0001565682350641297
1889	0.0001966842359284624
1890	0.00022333
1891	0.0002299338795744504
1892	0.0002190341114446086
1893	0.0001954464035275417
1894	0.0001639864637403165
1895	0.00012947
1896	9.608290111086398e-05
1897	6.549177942599976e-05
1898	3.873342818570357e-05
1899	1.684464063027158e-05
1900	8.6221e-07
1901	-8.539202497906285e-06
1902	-1.213346378860769e-05
1903	-1.105657283035596e-05
1904	-6.444528581402814e-06
1905	5.6667e-07
1906	8.770583840761163e-06
1907	1.6679013408431e-05
1908	2.273331905572026e-05
1909	2.537486113533968e-05
1910	2.3045e-05
1911	1.528649393486164e-05
1912	6.047692954883688e-06
1913	3.783450074749192e-07
1914	3.328198040044107e-06
1915	1.9947e-05
1916	5.501148745979229e-05
1917	0.0001122063514920342
1918	0.0001949432717943801
1919	0.0003066339280644839
1920	0.00045069
1921	0.0006238054842259693
1922	0.0007958036450769794
1923	0.0009297900638150049
1924	0.0009888703217020203
1925	0.00093615
1926	0.0007575201596363307
1927	0.0005300137802000482
1928	0.0003534493209456002
1929	0.000327645241127435
1930	0.00055242
1931	0.001084911077228708
1932	0.001811532034122828
1933	0.002576015452402594
1934	0.00322209391378824
1935	0.0035935
1936	0.003593334411448838
1937	0.003362170323308639
1938	0.003099949029444023
1939	0.003006611823719604
1940	0.0032821
1941	0.004075739916975942
1942	0.005334398192642613
1943	0.006954326509821315
1944	0.008831776551333343
1945	0.010863
1946	0.01292050832064739
1947	0.01478185210612091
