Latitude (decimal degrees):	37.779
Longitude (decimal degrees):	-122.420
Elevation (m):	19
Radiation database:	PVGIS-NSRDB


Slope: 0 deg. 
Azimuth: - deg. 
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20150107:0900,0.0,0.0,0.0,8.21,3.38,0.0
20150107:1000,0.0,0.0,0.0,8.07,3.59,0.0
20150107:1100,0.0,0.0,0.0,7.99,3.72,0.0
20150107:1200,0.0,0.0,0.0,8.03,4.0,0.0
20150107:1300,0.0,0.0,0.0,8.09,4.34,0.0
20150107:1400,0.0,0.0,0.0,8.03,4.48,0.0
20150107:1500,0.0,0.0,0.0,8.15,4.34,0.0
20150107:1600,379.23,437.37,5.05,8.17,4.07,0.0
20150107:1700,545.91,641.59,14.3,9.85,3.93,0.0
20150107:1800,531.51,636.43,21.91,12.59,4.0,0.0
20150107:1900,474.45,573.02,27.26,13.22,4.34,0.0
20150107:2000,430.25,525.57,29.73,14.79,4.9,0.0
20150107:2100,440.81,541.17,28.94,16.0,4.62,0.0
20150107:2200,492.61,602.48,25.04,16.77,4.34,0.0
20150107:2300,531.07,646.32,18.52,16.91,4.21,0.0
20150108:0000,480.52,578.49,10.22,16.34,4.14,0.0
20150108:0100,0.0,0.0,0.0,14.97,3.93,0.0
20150108:0200,0.0,0.0,0.0,13.42,3.66,0.0
20150108:0300,0.0,0.0,0.0,12.06,3.17,0.0
20150108:0400,0.0,0.0,0.0,10.94,3.1,0.0
20150108:0500,0.0,0.0,0.0,10.14,2.97,0.0
20150108:0600,0.0,0.0,0.0,9.56,2.76,0.0
20150108:0700,0.0,0.0,0.0,8.65,1.72,0.0
20150108:0800,0.0,0.0,0.0,8.02,1.86,0.0
20150108:0900,0.0,0.0,0.0,7.73,2.34,0.0
20150108:1000,0.0,0.0,0.0,7.46,2.41,0.0
20150108:1100,0.0,0.0,0.0,7.59,2.34,0.0
20150108:1200,0.0,0.0,0.0,7.35,2.34,0.0
20150108:1300,0.0,0.0,0.0,7.14,2.69,0.0
20150108:1400,0.0,0.0,0.0,7.04,2.69,0.0
20150108:1500,0.0,0.0,0.0,7.01,0.9,0.0
20150108:1600,2.42,10.89,5.07,7.19,0.69,0.0
20150108:1700,139.19,174.72,14.34,8.81,0.69,0.0
20150108:1800,104.43,137.81,21.98,10.41,1.45,0.0
20150108:1900,231.42,287.21,27.36,13.26,2.21,0.0
20150108:2000,298.88,369.79,29.85,14.36,2.62,1.0
20150108:2100,244.71,305.34,29.09,14.84,2.76,0.0
20150108:2200,98.51,133.84,25.19,15.3,2.62,0.0
20150108:2300,108.58,144.38,18.68,15.14,3.03,0.0
20150109:0000,13.65,28.98,10.38,14.98,3.03,0.0
20150109:0100,0.0,0.0,0.0,14.03,2.28,0.0
20150109:0200,0.0,0.0,0.0,12.57,1.38,0.0
20150109:0300,0.0,0.0,0.0,11.6,1.1,0.0
20150109:0400,0.0,0.0,0.0,10.72,1.38,0.0
20150109:0500,0.0,0.0,0.0,10.26,1.38,0.0
20150109:0600,0.0,0.0,0.0,9.97,1.31,0.0
20150109:0700,0.0,0.0,0.0,11.08,0.34,0.0
20150109:0800,0.0,0.0,0.0,10.91,0.34,0.0
20150109:0900,0.0,0.0,0.0,10.71,0.69,0.0
20150109:1000,0.0,0.0,0.0,10.64,0.69,0.0
20150109:1100,0.0,0.0,0.0,9.28,1.52,0.0
20150109:1200,0.0,0.0,0.0,9.25,1.45,0.0
20150109:1300,0.0,0.0,0.0,10.54,0.48,0.0
20150109:1400,0.0,0.0,0.0,10.62,0.76,0.0
20150109:1500,0.0,0.0,0.0,10.69,0.41,0.0
20150109:1600,24.32,42.19,5.1,10.75,0.21,0.0
20150109:1700,67.75,95.29,14.39,11.06,0.41,0.0
20150109:1800,147.72,188.79,22.06,12.19,0.69,0.0
20150109:1900,305.72,377.28,27.47,13.2,1.1,0.0
20150109:2000,367.87,462.06,29.98,14.04,0.28,0.0
20150109:2100,424.02,535.13,29.24,14.61,0.34,0.0
20150109:2200,175.33,224.7,25.36,15.14,0.48,0.0
20150109:2300,60.55,88.92,18.85,15.41,0.9,0.0
20150110:0000,4.67,15.21,10.55,14.93,1.93,0.0
20150110:0100,0.0,0.0,0.0,13.87,1.72,0.0
20150110:0200,0.0,0.0,0.0,12.72,1.03,0.0
20150110:0300,0.0,0.0,0.0,12.53,0.69,0.0
20150110:0400,0.0,0.0,0.0,12.08,0.62,0.0
20150110:0500,0.0,0.0,0.0,11.62,0.83,0.0
20150110:0600,0.0,0.0,0.0,11.14,0.97,0.0
20150110:0700,0.0,0.0,0.0,9.58,1.59,0.0
20150110:0800,0.0,0.0,0.0,9.5,1.52,0.0
20150110:0900,0.0,0.0,0.0,10.08,1.24,0.0
20150110:1000,0.0,0.0,0.0,9.8,1.17,0.0
20150110:1100,0.0,0.0,0.0,9.92,0.41,0.0
20150110:1200,0.0,0.0,0.0,9.67,0.62,0.0
20150110:1300,0.0,0.0,0.0,9.4,0.55,0.0
20150110:1400,0.0,0.0,0.0,9.01,0.21,0.0
20150110:1500,0.0,0.0,0.0,8.57,0.21,0.0
20150110:1600,2.4,10.9,5.14,8.38,0.69,0.0
20150110:1700,45.71,68.93,14.45,9.1,0.97,0.0
20150110:1800,134.57,172.31,22.14,10.45,0.9,0.0
20150110:1900,363.57,445.1,27.58,12.45,1.38,0.0
20150110:2000,207.08,261.9,30.12,13.19,0.48,0.0
20150110:2100,308.83,384.83,29.4,13.7,0.69,0.0
20150110:2200,372.13,457.34,25.53,14.02,1.31,0.0
20150110:2300,514.74,631.46,19.02,13.95,1.52,0.0
20150111:0000,467.15,565.49,10.73,13.68,1.66,0.0
20150111:0100,0.0,0.0,0.0,13.02,1.79,0.0
20150111:0200,0.0,0.0,0.0,12.26,1.86,0.0
20150111:0300,0.0,0.0,0.0,11.53,1.93,0.0
20150111:0400,0.0,0.0,0.0,10.83,2.0,0.0
20150111:0500,0.0,0.0,0.0,10.12,1.79,0.0
20150111:0600,0.0,0.0,0.0,9.97,1.24,0.0
20150111:0700,0.0,0.0,0.0,11.42,0.55,0.0
20150111:0800,0.0,0.0,0.0,11.25,0.41,0.0
20150111:0900,0.0,0.0,0.0,11.04,0.55,0.0
20150111:1000,0.0,0.0,0.0,10.85,0.48,0.0
20150111:1100,0.0,0.0,0.0,10.66,0.28,0.0
20150111:1200,0.0,0.0,0.0,10.36,0.55,0.0
20150111:1300,0.0,0.0,0.0,10.07,0.76,0.0
20150111:1400,0.0,0.0,0.0,9.38,0.69,0.0
20150111:1500,0.0,0.0,0.0,8.58,0.83,0.0
20150111:1600,2.08,10.26,5.18,8.02,1.31,0.0
20150111:1700,31.74,52.03,14.51,9.56,1.31,0.0
20150111:1800,97.94,130.72,22.23,10.87,1.31,0.0
20150111:1900,167.42,211.85,27.7,10.85,0.62,0.0
20150111:2000,351.21,430.49,30.27,11.68,1.52,0.0
20150111:2100,392.54,483.93,29.57,12.51,1.17,0.0
20150111:2200,406.41,500.47,25.7,13.25,0.83,0.0
20150111:2300,404.3,487.17,19.2,13.64,2.48,0.0
20150112:0000,278.36,333.57,10.9,13.41,3.38,0.0
20150112:0100,0.0,4.64,1.04,12.78,2.97,0.0
20150112:0200,0.0,0.0,0.0,12.11,2.21,0.0
20150112:0300,0.0,0.0,0.0,11.27,2.0,0.0
20150112:0400,0.0,0.0,0.0,10.58,2.48,0.0
20150112:0500,0.0,0.0,0.0,10.13,2.62,0.0
20150112:0600,0.0,0.0,0.0,9.23,1.86,0.0
20150112:0700,0.0,0.0,0.0,10.73,0.9,0.0
20150112:0800,0.0,0.0,0.0,10.22,0.97,0.0
20150112:0900,0.0,0.0,0.0,9.67,0.97,0.0
20150112:1000,0.0,0.0,0.0,9.0,1.03,0.0
20150112:1100,0.0,0.0,0.0,7.86,1.38,0.0
20150112:1200,0.0,0.0,0.0,7.84,1.79,0.0
20150112:1300,0.0,0.0,0.0,8.03,1.93,0.0
20150112:1400,0.0,0.0,0.0,8.32,2.28,0.0
20150112:1500,0.0,0.0,0.0,8.27,2.0,0.0
20150112:1600,1.44,8.98,5.23,8.11,1.93,0.0
20150112:1700,42.7,65.24,14.58,8.72,1.79,0.0
20150112:1800,213.89,260.48,22.33,9.39,1.66,0.0
20150112:1900,272.09,331.96,27.82,10.46,1.38,0.0
20150112:2000,349.75,429.55,30.42,11.69,1.24,0.0
20150112:2100,433.38,535.89,29.74,13.0,1.31,0.0
20150112:2200,485.01,594.08,25.88,13.94,2.14,0.0
20150112:2300,525.92,637.74,19.38,14.32,2.9,0.0
20150113:0000,481.37,578.13,11.09,14.26,2.97,0.0
20150113:0100,0.0,5.12,1.22,13.63,2.48,0.0
20150113:0200,0.0,0.0,0.0,12.9,2.28,0.0
20150113:0300,0.0,0.0,0.0,11.98,2.07,0.0
20150113:0400,0.0,0.0,0.0,10.87,1.72,0.0
20150113:0500,0.0,0.0,0.0,10.51,1.45,0.0
20150113:0600,0.0,0.0,0.0,10.42,1.31,0.0
20150113:0700,0.0,0.0,0.0,10.55,1.24,0.0
20150113:0800,0.0,0.0,0.0,9.51,1.66,0.0
20150113:0900,0.0,0.0,0.0,8.53,2.0,0.0
20150113:1000,0.0,0.0,0.0,8.36,2.0,0.0
20150113:1100,0.0,0.0,0.0,8.5,2.0,0.0
20150113:1200,0.0,0.0,0.0,8.47,1.93,0.0
20150113:1300,0.0,0.0,0.0,8.07,1.52,0.0
20150113:1400,0.0,0.0,0.0,8.1,1.52,0.0
20150113:1500,0.0,0.0,0.0,8.22,1.79,0.0
20150113:1600,375.27,437.79,5.28,8.23,2.07,0.0
20150113:1700,546.62,648.6,14.66,9.01,2.28,0.0
20150113:1800,541.87,652.04,22.43,10.95,2.41,0.0
20150113:1900,488.55,592.43,27.96,12.23,2.83,0.0
20150113:2000,447.24,547.04,30.58,13.65,3.24,0.0
20150113:2100,457.2,560.74,29.92,14.72,3.45,0.0
20150113:2200,509.56,622.85,26.07,15.45,3.52,0.0
20150113:2300,553.9,674.84,19.57,15.82,3.59,0.0
20150114:0000,514.2,622.76,11.27,15.56,3.1,0.0
20150114:0100,0.0,5.61,1.4,14.42,2.41,0.0
20150114:0200,0.0,0.0,0.0,12.6,1.93,0.0
20150114:0300,0.0,0.0,0.0,11.09,1.66,0.0
20150114:0400,0.0,0.0,0.0,10.11,1.72,0.0
20150114:0500,0.0,0.0,0.0,8.95,1.86,0.0
20150114:0600,0.0,0.0,0.0,8.06,1.86,0.0
20150114:0700,0.0,0.0,0.0,9.89,1.17,0.0
20150114:0800,0.0,0.0,0.0,8.8,1.38,0.0
20150114:0900,0.0,0.0,0.0,7.11,1.86,0.0
20150114:1000,0.0,0.0,0.0,6.32,2.07,0.0
20150114:1100,0.0,0.0,0.0,5.89,2.21,0.0
20150114:1200,0.0,0.0,0.0,5.62,2.48,0.0
20150114:1300,0.0,0.0,0.0,5.9,2.9,0.0
20150114:1400,0.0,0.0,0.0,5.89,3.17,0.0
20150114:1500,0.0,0.0,0.0,6.03,3.17,0.0
20150114:1600,387.37,444.92,5.34,5.77,2.69,0.0
20150114:1700,559.69,653.4,14.74,6.83,2.97,0.0
20150114:1800,550.67,649.55,22.54,8.58,3.38,0.0
20150114:1900,493.29,588.84,28.1,10.74,4.0,0.0
20150114:2000,448.28,542.17,30.75,12.06,3.72,0.0
20150114:2100,455.77,554.6,30.1,13.22,3.45,0.0
20150114:2200,505.85,614.52,26.26,14.01,3.31,0.0
20150114:2300,418.02,502.65,19.76,14.39,3.38,0.0
20150115:0000,349.67,418.93,11.46,14.19,2.83,0.0
20150115:0100,0.51,7.03,1.58,13.3,2.21,0.0
20150115:0200,0.0,0.0,0.0,11.82,2.21,0.0
20150115:0300,0.0,0.0,0.0,10.28,1.79,0.0
20150115:0400,0.0,0.0,0.0,9.23,1.59,0.0
20150115:0500,0.0,0.0,0.0,8.72,1.52,0.0
20150115:0600,0.0,0.0,0.0,8.31,1.52,0.0
20150115:0700,0.0,0.0,0.0,8.13,1.45,0.0
20150115:0800,0.0,0.0,0.0,7.35,2.34,0.0
20150115:0900,0.0,0.0,0.0,7.06,2.41,0.0
20150115:1000,0.0,0.0,0.0,6.96,2.34,0.0
20150115:1100,0.0,0.0,0.0,6.47,2.28,0.0
20150115:1200,0.0,0.0,0.0,6.06,1.72,0.0
20150115:1300,0.0,0.0,0.0,5.53,1.72,0.0
20150115:1400,0.0,0.0,0.0,5.27,1.66,0.0
20150115:1500,0.0,0.0,0.0,5.04,1.79,0.0
20150115:1600,64.71,88.16,5.41,5.61,1.93,0.0
20150115:1700,74.37,101.05,14.83,7.03,1.72,0.0
20150115:1800,233.22,280.74,22.66,8.29,1.86,0.0
20150115:1900,308.37,371.42,28.24,10.37,2.76,0.0
20150115:2000,444.94,539.31,30.92,11.95,3.17,1.0
20150115:2100,358.59,437.99,30.29,13.05,2.62,0.0
20150115:2200,381.94,465.73,26.46,13.72,2.07,0.0
20150115:2300,87.85,120.23,19.96,14.02,2.07,0.0
20150116:0000,82.72,113.01,11.66,13.95,1.66,0.0
20150116:0100,0.0,4.7,1.76,13.27,0.83,0.0
20150116:0200,0.0,0.0,0.0,11.92,1.03,0.0
20150116:0300,0.0,0.0,0.0,10.75,1.24,0.0
20150116:0400,0.0,0.0,0.0,10.94,0.76,0.0
20150116:0500,0.0,0.0,0.0,10.86,0.76,0.0
20150116:0600,0.0,0.0,0.0,10.65,0.69,0.0
20150116:0700,0.0,0.0,0.0,10.17,1.1,0.0
20150116:0800,0.0,0.0,0.0,9.53,1.38,0.0
20150116:0900,0.0,0.0,0.0,9.41,1.31,0.0
20150116:1000,0.0,0.0,0.0,10.41,0.76,0.0
20150116:1100,0.0,0.0,0.0,10.28,0.97,0.0
20150116:1200,0.0,0.0,0.0,9.51,1.24,0.0
20150116:1300,0.0,0.0,0.0,9.99,1.1,0.0
20150116:1400,0.0,0.0,0.0,7.78,1.79,0.0
20150116:1500,0.0,0.0,0.0,8.6,2.0,0.0
20150116:1600,8.25,20.59,5.48,9.06,2.0,0.0
20150116:1700,23.62,41.87,14.93,10.58,2.21,0.0
20150116:1800,17.68,34.2,22.78,11.98,2.55,0.0
20150116:1900,129.61,168.37,28.4,12.53,2.83,0.0
20150116:2000,204.36,256.69,31.1,13.24,2.07,0.0
20150116:2100,216.51,271.92,30.49,13.54,1.38,0.0
20150116:2200,202.91,254.7,26.67,13.64,1.17,0.0
20150116:2300,42.44,66.18,20.16,13.4,1.1,0.0
20150117:0000,78.56,107.98,11.85,13.28,1.52,0.0
20150117:0100,0.0,4.72,1.95,12.97,1.86,0.0
20150117:0200,0.0,0.0,0.0,12.61,1.93,0.0
20150117:0300,0.0,0.0,0.0,12.35,1.72,0.0
20150117:0400,0.0,0.0,0.0,12.04,1.93,0.0
20150117:0500,0.0,0.0,0.0,11.74,2.14,0.0
20150117:0600,0.0,0.0,0.0,11.43,2.41,0.0
20150117:0700,0.0,0.0,0.0,11.37,2.76,0.0
20150117:0800,0.0,0.0,0.0,11.18,2.69,0.0
20150117:0900,0.0,0.0,0.0,10.98,3.03,0.0
20150117:1000,0.0,0.0,0.0,10.69,2.97,0.0
20150117:1100,0.0,0.0,0.0,10.24,2.41,0.0
20150117:1200,0.0,0.0,0.0,9.76,2.21,0.0
20150117:1300,0.0,0.0,0.0,9.42,2.34,0.0
20150117:1400,0.0,0.0,0.0,9.27,2.34,0.0
20150117:1500,0.0,0.0,0.0,9.56,2.21,0.0
20150117:1600,92.26,120.59,5.56,9.59,2.21,0.0
20150117:1700,518.83,619.46,15.03,10.95,2.28,0.0
20150117:1800,515.88,624.78,22.91,12.42,2.14,0.0
20150117:1900,424.51,514.77,28.56,12.51,2.41,0.0
20150117:2000,433.04,530.53,31.29,13.38,2.41,0.0
20150117:2100,440.05,541.72,30.7,14.3,2.28,0.0
20150117:2200,486.15,597.18,26.87,14.82,2.21,0.0
20150117:2300,328.8,400.31,20.36,15.04,2.21,0.0
20150118:0000,28.18,48.55,12.06,14.92,1.86,0.0
20150118:0100,0.0,4.26,2.14,14.51,1.59,0.0
20150118:0200,0.0,0.0,0.0,14.03,1.38,0.0
20150118:0300,0.0,0.0,0.0,13.67,1.45,0.0
20150118:0400,0.0,0.0,0.0,13.45,1.72,0.0
20150118:0500,0.0,0.0,0.0,13.13,1.72,0.0
20150118:0600,0.0,0.0,0.0,12.95,1.31,0.0
20150118:0700,0.0,0.0,0.0,11.94,0.97,0.0
20150118:0800,0.0,0.0,0.0,11.66,1.1,0.0
20150118:0900,0.0,0.0,0.0,11.71,1.1,0.0
20150118:1000,0.0,0.0,0.0,11.63,1.38,0.0
20150118:1100,0.0,0.0,0.0,11.44,1.52,0.0
20150118:1200,0.0,0.0,0.0,10.92,1.03,0.0
20150118:1300,0.0,0.0,0.0,10.53,1.24,0.0
20150118:1400,0.0,0.0,0.0,10.11,1.38,0.0
20150118:1500,0.0,0.0,0.0,9.98,1.45,0.0
20150118:1600,0.3,6.45,5.64,10.16,1.52,0.0
20150118:1700,16.32,32.37,15.14,11.98,1.59,0.0
20150118:1800,58.74,85.99,23.05,13.57,1.86,0.0
20150118:1900,253.1,314.04,28.72,13.6,1.38,0.0
20150118:2000,201.81,255.62,31.48,14.25,1.31,0.0
20150118:2100,224.88,282.3,30.91,14.71,2.14,0.0
20150118:2200,488.42,598.76,27.09,14.93,2.48,0.0
20150118:2300,526.25,642.01,20.57,14.95,2.55,0.0
20150119:0000,483.98,585.08,12.26,14.89,2.55,0.0
20150119:0100,2.55,11.39,2.34,14.46,2.07,0.0
20150119:0200,0.0,0.0,0.0,13.84,1.79,0.0
20150119:0300,0.0,0.0,0.0,13.52,1.72,0.0
20150119:0400,0.0,0.0,0.0,13.11,1.72,0.0
20150119:0500,0.0,0.0,0.0,12.58,1.66,0.0
20150119:0600,0.0,0.0,0.0,12.07,1.38,0.0
20150119:0700,0.0,0.0,0.0,13.97,0.62,0.0
20150119:0800,0.0,0.0,0.0,12.91,1.52,0.0
