Latitude (decimal degrees):	40.525
Longitude (decimal degrees):	-3.772
Elevation (m):	652
Radiation database:	PVGIS-SARAH2


Slope: 35 deg. (optimum)
Azimuth: -4 deg. (optimum)
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20200106:0510,0.0,0.0,0.0,1.6,1.52,0.0
20200106:0610,0.0,0.0,0.0,2.06,1.45,0.0
20200106:0710,0.0,0.0,0.0,0.81,1.52,0.0
20200106:0810,171.24,212.09,4.26,1.08,1.45,0.0
20200106:0910,458.06,532.71,12.99,2.35,1.17,0.0
20200106:1010,600.95,728.96,20.05,5.92,0.34,0.0
20200106:1110,685.9,859.08,24.87,8.41,0.28,0.0
20200106:1210,722.82,913.65,26.92,9.86,0.55,0.0
20200106:1310,696.31,876.69,25.92,10.83,0.69,0.0
20200106:1410,606.67,751.04,22.01,11.34,0.83,0.0
20200106:1510,462.29,563.72,15.66,11.31,0.9,0.0
20200106:1610,245.68,308.96,7.45,10.53,1.1,0.0
20200106:1710,0.0,0.0,0.0,8.75,0.76,0.0
20200106:1810,0.0,0.0,0.0,8.51,0.48,0.0
20200106:1910,0.0,0.0,0.0,6.29,1.03,0.0
20200106:2010,0.0,0.0,0.0,2.99,1.52,0.0
20200106:2110,0.0,0.0,0.0,0.81,2.0,0.0
20200106:2210,0.0,0.0,0.0,-0.36,1.86,0.0
20200106:2310,0.0,0.0,0.0,-1.0,1.72,0.0
20200107:0010,0.0,0.0,0.0,-1.48,1.66,0.0
20200107:0110,0.0,0.0,0.0,-1.86,1.66,0.0
20200107:0210,0.0,0.0,0.0,-2.13,1.59,0.0
20200107:0310,0.0,0.0,0.0,-2.2,1.59,0.0
20200107:0410,0.0,0.0,0.0,-2.18,1.66,0.0
20200107:0510,0.0,0.0,0.0,-2.1,1.66,0.0
20200107:0610,0.0,0.0,0.0,-2.11,1.66,0.0
20200107:0710,0.0,0.0,0.0,-2.68,1.59,0.0
20200107:0810,187.26,226.74,4.29,-2.64,1.52,0.0
20200107:0910,458.52,529.18,13.03,0.22,0.97,0.0
20200107:1010,610.77,738.46,20.12,5.22,0.41,0.0
20200107:1110,695.12,876.13,24.97,8.46,0.14,0.0
20200107:1210,726.32,925.31,27.04,10.38,0.41,0.0
20200107:1310,689.22,872.16,26.06,11.63,0.62,0.0
20200107:1410,613.99,767.22,22.16,12.33,0.69,0.0
20200107:1510,465.77,572.98,15.82,12.45,0.69,0.0
20200107:1610,246.74,311.3,7.61,11.58,1.17,0.0
20200107:1710,0.0,0.0,0.0,9.43,1.1,0.0
20200107:1810,0.0,0.0,0.0,8.45,0.83,0.0
20200107:1910,0.0,0.0,0.0,5.17,1.31,0.0
20200107:2010,0.0,0.0,0.0,2.39,1.79,0.0
20200107:2110,0.0,0.0,0.0,0.97,1.93,0.0
20200107:2210,0.0,0.0,0.0,-0.22,1.86,0.0
20200107:2310,0.0,0.0,0.0,-1.01,1.72,0.0
20200108:0010,0.0,0.0,0.0,-1.29,1.72,0.0
20200108:0110,0.0,0.0,0.0,-1.57,1.66,0.0
20200108:0210,0.0,0.0,0.0,-1.81,1.66,0.0
20200108:0310,0.0,0.0,0.0,-1.92,1.66,0.0
20200108:0410,0.0,0.0,0.0,-1.79,1.59,0.0
20200108:0510,0.0,0.0,0.0,-1.61,1.52,0.0
20200108:0610,0.0,0.0,0.0,-1.51,1.45,0.0
20200108:0710,0.0,0.0,0.0,-1.35,1.52,0.0
20200108:0810,35.17,54.92,4.32,-1.02,1.45,0.0
20200108:0910,269.18,312.92,13.08,1.04,1.03,0.0
20200108:1010,591.07,713.54,20.19,6.21,0.55,0.0
20200108:1110,687.14,863.91,25.07,9.55,0.34,0.0
20200108:1210,699.29,890.67,27.17,11.55,0.41,0.0
20200108:1310,678.05,862.06,26.21,12.76,0.55,0.0
20200108:1410,580.09,725.84,22.32,13.48,0.62,0.0
20200108:1510,439.51,543.07,15.98,13.56,0.55,0.0
20200108:1610,237.12,302.51,7.77,12.96,0.55,0.0
20200108:1710,0.0,0.0,0.0,12.01,0.21,0.0
20200108:1810,0.0,0.0,0.0,11.14,0.55,0.0
20200108:1910,0.0,0.0,0.0,10.56,0.9,0.0
20200108:2010,0.0,0.0,0.0,9.77,0.97,0.0
20200108:2110,0.0,0.0,0.0,8.79,0.97,0.0
20200108:2210,0.0,0.0,0.0,7.61,1.1,0.0
20200108:2310,0.0,0.0,0.0,6.7,1.1,0.0
20200109:0010,0.0,0.0,0.0,6.06,1.03,0.0
20200109:0110,0.0,0.0,0.0,4.75,1.24,0.0
20200109:0210,0.0,0.0,0.0,3.73,1.38,0.0
20200109:0310,0.0,0.0,0.0,3.3,1.38,0.0
20200109:0410,0.0,0.0,0.0,3.28,1.31,0.0
20200109:0510,0.0,0.0,0.0,2.97,1.31,0.0
20200109:0610,0.0,0.0,0.0,2.42,1.31,0.0
20200109:0710,0.0,0.0,0.0,1.58,1.52,0.0
20200109:0810,173.04,214.89,4.36,1.56,1.45,0.0
20200109:0910,433.49,508.7,13.14,3.79,0.83,0.0
20200109:1010,587.67,717.5,20.28,6.86,0.14,0.0
20200109:1110,681.35,841.77,25.18,8.37,0.76,0.0
20200109:1210,715.78,891.34,27.3,9.63,1.03,0.0
20200109:1310,690.05,856.19,26.36,10.67,1.24,0.0
20200109:1410,599.48,732.79,22.48,11.43,1.52,0.0
20200109:1510,450.74,545.74,16.15,12.07,1.72,0.0
20200109:1610,231.29,290.65,7.94,11.39,2.0,0.0
20200109:1710,0.0,0.0,0.0,9.43,1.72,0.0
20200109:1810,0.0,0.0,0.0,7.92,1.66,0.0
20200109:1910,0.0,0.0,0.0,7.21,1.45,0.0
20200109:2010,0.0,0.0,0.0,7.18,1.17,0.0
20200109:2110,0.0,0.0,0.0,6.64,1.38,0.0
20200109:2210,0.0,0.0,0.0,6.55,1.45,0.0
20200109:2310,0.0,0.0,0.0,6.29,1.72,0.0
20200110:0010,0.0,0.0,0.0,5.79,1.93,0.0
20200110:0110,0.0,0.0,0.0,5.99,2.55,0.0
20200110:0210,0.0,0.0,0.0,5.72,2.34,0.0
20200110:0310,0.0,0.0,0.0,4.77,2.14,0.0
20200110:0410,0.0,0.0,0.0,3.6,2.07,0.0
20200110:0510,0.0,0.0,0.0,2.44,1.93,0.0
20200110:0610,0.0,0.0,0.0,1.67,2.07,0.0
20200110:0710,0.0,0.0,0.0,1.65,2.07,0.0
20200110:0810,199.83,245.29,4.4,1.71,2.0,0.0
20200110:0910,477.0,553.46,13.21,3.21,1.93,0.0
20200110:1010,647.58,763.8,20.37,5.03,2.14,0.0
20200110:1110,723.32,864.98,25.3,6.91,2.62,0.0
20200110:1210,761.91,913.49,27.45,8.19,3.38,0.0
20200110:1310,730.26,871.79,26.52,9.01,3.79,0.0
20200110:1410,637.67,756.09,22.65,9.59,3.79,0.0
20200110:1510,478.29,565.27,16.32,9.82,3.59,0.0
20200110:1610,266.07,328.15,8.11,9.52,2.97,0.0
20200110:1710,0.0,0.0,0.0,8.25,2.41,0.0
20200110:1810,0.0,0.0,0.0,6.63,2.34,0.0
20200110:1910,0.0,0.0,0.0,5.8,2.41,0.0
20200110:2010,0.0,0.0,0.0,4.8,2.34,0.0
20200110:2110,0.0,0.0,0.0,3.91,2.21,0.0
20200110:2210,0.0,0.0,0.0,2.84,2.0,0.0
20200110:2310,0.0,0.0,0.0,1.68,1.93,0.0
20200111:0010,0.0,0.0,0.0,0.64,1.93,0.0
20200111:0110,0.0,0.0,0.0,-0.27,1.93,0.0
20200111:0210,0.0,0.0,0.0,-0.97,1.86,0.0
20200111:0310,0.0,0.0,0.0,-1.47,1.86,0.0
20200111:0410,0.0,0.0,0.0,-1.85,1.72,0.0
20200111:0510,0.0,0.0,0.0,-2.1,1.66,0.0
20200111:0610,0.0,0.0,0.0,-2.43,1.59,0.0
20200111:0710,0.0,0.0,0.0,-2.94,1.66,0.0
20200111:0810,194.37,234.67,4.45,-2.84,1.66,0.0
20200111:0910,455.45,522.81,13.28,-0.14,1.31,0.0
20200111:1010,620.91,736.89,20.46,3.35,0.97,0.0
20200111:1110,708.53,870.45,25.42,6.2,0.76,0.0
20200111:1210,736.63,920.66,27.59,7.87,0.69,0.0
20200111:1310,710.26,893.39,26.69,9.12,0.48,0.0
20200111:1410,622.97,776.2,22.83,9.79,0.28,0.0
20200111:1510,467.2,573.25,16.5,10.04,0.07,0.0
20200111:1610,274.89,344.03,8.28,9.79,0.34,0.0
20200111:1710,0.0,0.0,0.0,8.01,1.1,0.0
20200111:1810,0.0,0.0,0.0,7.02,0.97,0.0
20200111:1910,0.0,0.0,0.0,5.32,1.1,0.0
20200111:2010,0.0,0.0,0.0,2.72,1.45,0.0
20200111:2110,0.0,0.0,0.0,0.69,1.66,0.0
20200111:2210,0.0,0.0,0.0,-0.66,1.66,0.0
20200111:2310,0.0,0.0,0.0,-1.53,1.59,0.0
20200112:0010,0.0,0.0,0.0,-2.06,1.52,0.0
20200112:0110,0.0,0.0,0.0,-2.32,1.45,0.0
20200112:0210,0.0,0.0,0.0,-2.53,1.38,0.0
20200112:0310,0.0,0.0,0.0,-2.7,1.38,0.0
20200112:0410,0.0,0.0,0.0,-2.81,1.31,0.0
20200112:0510,0.0,0.0,0.0,-2.87,1.31,0.0
20200112:0610,0.0,0.0,0.0,-2.9,1.31,0.0
20200112:0710,0.0,0.0,0.0,-3.53,1.38,0.0
20200112:0810,190.09,229.6,4.51,-3.43,1.24,0.0
20200112:0910,464.35,537.31,13.36,-0.26,0.62,0.0
20200112:1010,620.87,748.22,20.57,3.66,0.28,0.0
20200112:1110,709.78,884.01,25.55,6.01,0.21,0.0
20200112:1210,734.48,926.76,27.75,7.53,0.28,0.0
20200112:1310,716.05,899.72,26.86,8.64,0.48,0.0
20200112:1410,632.53,782.94,23.01,9.34,0.55,0.0
20200112:1510,486.2,590.18,16.68,9.43,0.69,0.0
20200112:1610,282.91,348.58,8.46,8.45,1.45,0.0
20200112:1710,0.0,0.0,0.0,6.66,1.38,0.0
20200112:1810,0.0,0.0,0.0,5.21,0.69,0.0
20200112:1910,0.0,0.0,0.0,4.53,0.69,0.0
20200112:2010,0.0,0.0,0.0,3.2,0.97,0.0
20200112:2110,0.0,0.0,0.0,1.75,1.24,0.0
20200112:2210,0.0,0.0,0.0,0.97,1.38,0.0
20200112:2310,0.0,0.0,0.0,1.5,1.31,0.0
20200113:0010,0.0,0.0,0.0,2.43,1.1,0.0
20200113:0110,0.0,0.0,0.0,2.64,0.97,0.0
20200113:0210,0.0,0.0,0.0,2.43,0.76,0.0
20200113:0310,0.0,0.0,0.0,2.23,0.76,0.0
20200113:0410,0.0,0.0,0.0,1.99,0.83,0.0
20200113:0510,0.0,0.0,0.0,1.73,0.83,0.0
20200113:0610,0.0,0.0,0.0,1.59,0.62,0.0
20200113:0710,0.0,0.0,0.0,0.96,0.69,0.0
20200113:0810,40.6,61.95,4.57,0.81,0.41,0.0
20200113:0910,287.25,335.76,13.44,1.05,0.07,0.0
20200113:1010,402.83,470.97,20.68,2.56,0.28,0.0
20200113:1110,601.57,720.44,25.69,4.4,0.69,0.0
20200113:1210,644.88,776.15,27.91,5.62,1.17,0.0
20200113:1310,604.41,722.79,27.04,6.35,1.45,0.0
20200113:1410,504.15,594.99,23.2,6.58,1.72,0.0
20200113:1510,409.14,482.28,16.86,6.38,1.52,0.0
20200113:1610,157.91,197.85,8.65,5.4,1.45,0.0
20200113:1710,0.0,0.0,0.0,4.16,1.59,0.0
20200113:1810,0.0,0.0,0.0,2.53,1.24,0.0
20200113:1910,0.0,0.0,0.0,1.53,1.03,0.0
20200113:2010,0.0,0.0,0.0,2.44,0.76,0.0
20200113:2110,0.0,0.0,0.0,2.26,0.48,0.0
20200113:2210,0.0,0.0,0.0,2.03,0.41,0.0
20200113:2310,0.0,0.0,0.0,1.77,0.28,0.0
20200114:0010,0.0,0.0,0.0,1.48,0.14,0.0
20200114:0110,0.0,0.0,0.0,1.26,0.28,0.0
20200114:0210,0.0,0.0,0.0,1.12,0.28,0.0
20200114:0310,0.0,0.0,0.0,0.94,0.28,0.0
20200114:0410,0.0,0.0,0.0,0.62,0.55,0.0
20200114:0510,0.0,0.0,0.0,0.32,0.69,0.0
20200114:0610,0.0,0.0,0.0,0.24,0.76,0.0
20200114:0710,0.0,0.0,0.0,0.15,0.41,0.0
20200114:0810,159.52,198.76,4.64,0.02,0.62,0.0
20200114:0910,432.44,502.62,13.53,0.65,0.41,0.0
20200114:1010,596.24,707.73,20.79,2.65,0.55,0.0
20200114:1110,748.07,904.92,25.83,4.14,1.24,0.0
20200114:1210,739.03,890.19,28.08,5.49,1.86,0.0
20200114:1310,720.99,866.62,27.22,6.31,2.07,0.0
20200114:1410,590.49,698.59,23.39,6.74,2.21,0.0
20200114:1510,420.6,493.57,17.06,6.75,2.28,0.0
20200114:1610,234.81,286.58,8.84,5.85,1.86,0.0
20200114:1710,0.0,0.0,0.0,4.06,2.07,0.0
20200114:1810,0.0,0.0,0.0,2.71,1.86,0.0
20200114:1910,0.0,0.0,0.0,1.93,1.31,0.0
20200114:2010,0.0,0.0,0.0,2.81,0.9,0.0
20200114:2110,0.0,0.0,0.0,3.67,0.62,0.0
20200114:2210,0.0,0.0,0.0,3.25,0.83,0.0
20200114:2310,0.0,0.0,0.0,2.86,0.97,0.0
20200115:0010,0.0,0.0,0.0,2.73,1.03,0.0
20200115:0110,0.0,0.0,0.0,2.84,0.97,0.0
20200115:0210,0.0,0.0,0.0,2.92,1.03,0.0
20200115:0310,0.0,0.0,0.0,2.91,1.03,0.0
20200115:0410,0.0,0.0,0.0,2.71,1.1,0.0
20200115:0510,0.0,0.0,0.0,2.63,1.24,0.0
20200115:0610,0.0,0.0,0.0,2.34,1.38,0.0
20200115:0710,0.0,0.0,0.0,2.19,1.59,0.0
20200115:0810,1.21,8.36,4.72,2.17,1.45,0.0
20200115:0910,34.2,53.87,13.63,3.37,1.24,0.0
20200115:1010,69.46,95.67,20.92,5.12,1.45,0.0
20200115:1110,73.22,100.32,25.98,6.04,1.72,0.0
20200115:1210,54.59,78.95,28.26,6.81,2.0,0.0
20200115:1310,131.75,167.26,27.42,7.21,1.86,0.0
20200115:1410,111.13,144.27,23.59,8.02,2.21,0.0
20200115:1510,121.64,155.85,17.25,8.25,2.07,0.0
20200115:1610,41.97,64.54,9.03,8.25,1.79,0.0
20200115:1710,0.0,0.0,0.0,7.63,0.97,0.0
20200115:1810,0.0,0.0,0.0,7.16,0.28,0.0
20200115:1910,0.0,0.0,0.0,5.69,0.83,0.0
20200115:2010,0.0,0.0,0.0,5.38,1.1,0.0
20200115:2110,0.0,0.0,0.0,5.21,1.31,0.0
20200115:2210,0.0,0.0,0.0,5.07,1.24,0.0
20200115:2310,0.0,0.0,0.0,5.04,1.1,0.0
20200116:0010,0.0,0.0,0.0,5.04,0.97,0.0
20200116:0110,0.0,0.0,0.0,5.09,0.97,0.0
20200116:0210,0.0,0.0,0.0,5.26,0.83,0.0
20200116:0310,0.0,0.0,0.0,5.39,0.9,0.0
20200116:0410,0.0,0.0,0.0,5.14,0.9,0.0
20200116:0510,0.0,0.0,0.0,5.22,0.83,0.0
20200116:0610,0.0,0.0,0.0,5.42,0.76,0.0
20200116:0710,0.0,0.0,0.0,6.15,0.34,0.0
20200116:0810,0.35,6.5,4.8,6.26,0.34,0.0
20200116:0910,39.8,61.31,13.73,6.22,0.69,0.0
20200116:1010,64.69,91.03,21.05,7.33,1.1,0.0
20200116:1110,45.62,68.74,26.14,8.31,2.14,0.0
20200116:1210,81.1,110.54,28.44,9.05,2.76,0.0
20200116:1310,249.17,300.52,27.61,9.96,3.24,0.0
20200116:1410,626.95,748.79,23.79,10.57,3.38,0.0
20200116:1510,457.04,542.55,17.46,10.96,3.52,0.0
20200116:1610,284.62,351.01,9.22,10.72,2.76,0.0
20200116:1710,0.0,0.0,0.0,9.5,2.07,0.0
20200116:1810,0.0,0.0,0.0,8.0,1.93,0.0
20200116:1910,0.0,0.0,0.0,7.19,2.34,0.0
20200116:2010,0.0,0.0,0.0,6.19,2.34,0.0
20200116:2110,0.0,0.0,0.0,5.49,2.48,0.0
20200116:2210,0.0,0.0,0.0,5.81,2.9,0.0
20200116:2310,0.0,0.0,0.0,6.52,3.03,0.0
20200117:0010,0.0,0.0,0.0,6.42,2.97,0.0
20200117:0110,0.0,0.0,0.0,6.59,2.76,0.0
20200117:0210,0.0,0.0,0.0,6.78,2.62,0.0
20200117:0310,0.0,0.0,0.0,6.79,2.41,0.0
20200117:0410,0.0,0.0,0.0,6.54,2.21,0.0
20200117:0510,0.0,0.0,0.0,6.3,2.07,0.0
20200117:0610,0.0,0.0,0.0,5.94,2.0,0.0
20200117:0710,0.0,0.0,0.0,6.13,2.28,0.0
20200117:0810,130.3,168.97,4.89,6.09,2.28,0.0
20200117:0910,417.96,492.14,13.84,6.77,1.93,0.0
20200117:1010,483.5,567.73,21.19,8.18,2.9,0.0
20200117:1110,238.43,287.5,26.31,9.38,3.24,0.0
20200117:1210,184.15,228.07,28.63,10.43,3.38,0.0
20200117:1310,391.86,466.3,27.82,10.98,3.17,0.0
20200117:1410,550.31,658.83,24.0,11.24,2.9,0.0
20200117:1510,463.18,554.38,17.66,11.42,2.69,0.0
20200117:1610,231.02,288.19,9.42,11.05,1.93,0.0
20200117:1710,0.0,0.0,0.0,9.82,1.38,0.0
20200117:1810,0.0,0.0,0.0,7.72,1.17,0.0
20200117:1910,0.0,0.0,0.0,7.96,0.76,0.0
20200117:2010,0.0,0.0,0.0,5.5,1.24,0.0
20200117:2110,0.0,0.0,0.0,4.4,1.31,0.0
20200117:2210,0.0,0.0,0.0,4.02,1.17,0.0
20200117:2310,0.0,0.0,0.0,3.92,1.03,0.0
20200118:0010,0.0,0.0,0.0,4.08,0.83,0.0
20200118:0110,0.0,0.0,0.0,4.23,0.83,0.0
20200118:0210,0.0,0.0,0.0,4.88,0.55,0.0
20200118:0310,0.0,0.0,0.0,5.0,0.34,0.0
20200118:0410,0.0,0.0,0.0,5.02,0.55,0.0
20200118:0510,0.0,0.0,0.0,4.26,0.83,0.0
20200118:0610,0.0,0.0,0.0,3.34,1.31,0.0
20200118:0710,0.0,0.0,0.0,3.66,1.59,0.0
20200118:0810,185.97,232.1,4.98,3.63,1.38,0.0
20200118:0910,93.34,122.2,13.96,4.75,1.17,0.0
20200118:1010,78.96,106.82,21.33,5.72,1.38,0.0
20200118:1110,78.08,105.89,26.48,6.15,2.0,0.0
20200118:1210,85.27,114.25,28.82,6.47,2.0,0.0
20200118:1310,48.17,71.52,28.03,7.57,3.03,0.0
20200118:1410,49.69,73.38,24.21,7.77,3.17,0.0
20200118:1510,53.55,78.03,17.87,8.11,3.45,0.0
20200118:1610,37.86,59.3,9.62,7.93,3.31,0.0
20200118:1710,0.0,0.0,0.0,7.68,2.9,0.0
20200118:1810,0.0,0.0,0.0,7.47,2.07,0.0
20200118:1910,0.0,0.0,0.0,7.3,1.03,0.0
20200118:2010,0.0,0.0,0.0,6.74,1.24,0.0
20200118:2110,0.0,0.0,0.0,6.26,1.31,0.0
20200118:2210,0.0,0.0,0.0,5.73,1.45,0.0
20200118:2310,0.0,0.0,0.0,5.52,1.59,0.0
20200119:0010,0.0,0.0,0.0,4.53,1.86,0.0
20200119:0110,0.0,0.0,0.0,3.62,1.79,0.0
20200119:0210,0.0,0.0,0.0,2.93,1.59,0.0
20200119:0310,0.0,0.0,0.0,2.35,1.66,0.0
20200119:0410,0.0,0.0,0.0,2.47,1.79,0.0
20200119:0510,0.0,0.0,0.0,2.65,2.07,0.0
20200119:0610,0.0,0.0,0.0,2.88,2.21,0.0
